LA,year,Code,rNO2,rNOx,rO3
Armagh Banbridge and Craigavon,2018,449,3.956,4.918,62.031
Armagh Banbridge and Craigavon,2019,449,3.803,4.721,62.165
Armagh Banbridge and Craigavon,2020,449,3.651,4.526,62.298
Armagh Banbridge and Craigavon,2021,449,3.53,4.37,62.404
Armagh Banbridge and Craigavon,2022,449,3.409,4.216,62.509
Armagh Banbridge and Craigavon,2023,449,3.316,4.098,62.589
Armagh Banbridge and Craigavon,2024,449,3.175,3.918,62.715
Armagh Banbridge and Craigavon,2025,449,3.06,3.771,62.816
Armagh Banbridge and Craigavon,2026,449,3.019,3.719,62.85
Armagh Banbridge and Craigavon,2027,449,2.978,3.668,62.883
Armagh Banbridge and Craigavon,2028,449,2.94,3.62,62.915
Armagh Banbridge and Craigavon,2029,449,2.903,3.574,62.946
Armagh Banbridge and Craigavon,2030,449,2.869,3.53,62.975
